table,row_id,field,old_value,new_value,reason,timestamp
organizations,6369,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6370,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6371,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6372,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6373,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6374,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6375,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6377,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6378,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6379,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6380,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6381,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6382,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6383,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6384,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6385,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6386,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6387,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6388,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6389,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6390,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6391,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6392,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6393,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6394,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6395,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6396,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6397,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6398,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6402,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6403,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6404,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6405,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6406,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6407,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6408,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6409,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6410,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6411,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6412,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6413,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6414,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6415,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6416,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6420,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6421,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6422,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6429,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6430,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6431,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6432,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6433,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6466,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6467,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6468,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6469,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6470,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6471,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6472,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6473,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6474,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6475,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6476,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6477,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6478,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6479,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6480,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6481,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6482,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6483,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6484,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6485,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6486,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6487,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6488,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6489,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6490,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6491,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6492,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6493,category_id,Others,Transmission Utility,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6507,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
directory_numbers,7799,"(entire row, DELETE)","name=""400/132 kV Switch Yard Control Room"", category=""Control Room"", phone_number=""400/132 KV Switch yard Control Room; 09302187737 / Orange no: 20221416 / 09302187737 / Orange no: 20221416"", email=""switchyard.270@acbindia.com"", org_id=6438",DELETED,"Duplicate of id 7873 (same name, same org, same email) -- 7873 is a later, cleaner re-entry correctly categorized Switchyard; 7799 was the older Control-Room-mistagged row with duplicated/garbled phone text.",2026-08-26
directory_numbers,7815,"(entire row, DELETE)","org=""Mahan Energen Limited (Formally Essar Power (MP) Limited"", name=""Switchyard Control Room (SCR)"", category=""Control Room"", phone_number=""8966902950 / NA / 8966902950"", email=""scr.mel@adani.com""",DELETED,"Same pattern as ACB (India) Limited (id 7799): duplicate of id 7874, which is a later, cleaner re-entry correctly categorized Switchyard. IDs 7874-7877 are sequential with 7873 (ACB's clean row), confirming a single later correction batch never deleted the originals it was replacing.",2026-08-26
directory_numbers,7826,"(entire row, DELETE)","org=""Raigarh Energy Generation Limited"", name=""Switchyard Control Room"", category=""Control Room"", phone_number=""6232005449"", email=""reglshift.operation@adani.com""",DELETED,"Same pattern as ACB (India) Limited (id 7799): duplicate of id 7875, which is a later, cleaner re-entry correctly categorized Switchyard. IDs 7874-7877 are sequential with 7873 (ACB's clean row), confirming a single later correction batch never deleted the originals it was replacing.",2026-08-26
directory_numbers,7832,"(entire row, DELETE)","org=""SASAN Power Limited"", name=""Switchyard Control Room"", category=""Control Room"", phone_number=""Switchyard Control Room; 7583896091 / 7583896091 / 7583896091"", email=""7583896091; sasan.switchyard@relianceada.com""",DELETED,"Same pattern as ACB (India) Limited (id 7799): duplicate of id 7876, which is a later, cleaner re-entry correctly categorized Switchyard. IDs 7874-7877 are sequential with 7873 (ACB's clean row), confirming a single later correction batch never deleted the originals it was replacing.",2026-08-26
directory_numbers,7837,"(entire row, DELETE)","org=""TRN Energy Private Limited"", name=""Switchyard Control Room"", category=""Control Room"", phone_number=""6265223817 / 6265223817 / 6265223817"", email=""400kvswitchyard@trnenergy.com""",DELETED,"Same pattern as ACB (India) Limited (id 7799): duplicate of id 7877, which is a later, cleaner re-entry correctly categorized Switchyard. IDs 7874-7877 are sequential with 7873 (ACB's clean row), confirming a single later correction batch never deleted the originals it was replacing.",2026-08-26
directory_numbers,7710,phone_number,SCADA VOIP/ PSS VOIP: / SCADA VOIP/ PSS VOIP:,NULL,"Row name ""Avikiran Solar India Private Limited"": phone_number field contained placeholder/label text with no actual phone number (no digits at all) -- cleared rather than leaving misleading text where a real number should be. No real number was recoverable from available sources.",2026-08-26
directory_numbers,7749,phone_number,SCADA VOIP/ PSS VOIP: / SCADA VOIP/ PSS VOIP:,NULL,"Row name ""Control Room"": phone_number field contained placeholder/label text with no actual phone number (no digits at all) -- cleared rather than leaving misleading text where a real number should be. No real number was recoverable from available sources.",2026-08-26
directory_numbers,7798,phone_number,Control Room,NULL,"Row name ""ACB (India) Limited"": phone_number field contained placeholder/label text with no actual phone number (no digits at all) -- cleared rather than leaving misleading text where a real number should be. No real number was recoverable from available sources.",2026-08-26
directory_numbers,7859,name,"Control Room 1 : State Load Despatch Centre Chhattisgarh Address: Chhattisgarh State Power Transmission Co. Ltd. (A Successor Company Of CSEB), Danganiya, Raipur, C.G. - 492013, Chhattisgarh.",Control Room 1 : State Load Despatch Centre Chhattisgarh,"Embedded address matched the organization's own stored address (Danganiya, Raipur) almost exactly -- fully redundant, safe to drop entirely.",2026-08-26
directory_numbers,7860,name,"Control Room 2 : Backup State Load Despatch Centre, Chhattisgarh Address: Chhattisgarh State Power Transmission Co. Ltd. (A Successor Company Of CSEB), Khedamara, Bhilai, C.G. - 490024,Chhattisgarh.","Control Room 2 : Backup State Load Despatch Centre, Chhattisgarh (Khedamara, Bhilai)","Embedded address (Khedamara, Bhilai) is GENUINELY DIFFERENT from the organization's own stored address (Danganiya, Raipur) -- the backup control room really is at a different site, so the location detail was kept in shortened form rather than dropped.",2026-08-26
